"","Organisation name","Sub-building Name","Building Name","Number","Primary Thorfare","Alt Thorfare","Secondary Thorfare","Locality","Townland","Town","County","Postcode","x-coordinates","y-coordinates","Primary Key"
"73",NA,NA,NA,"30","LEIGHERY ROAD",NA,NA,NA,"BALLYLEIGHERY UPPER","LIMAVADY","LONDONDERRY","BT490JG",270404,431604,73
"75",NA,NA,NA,"38","CURRAGH ROAD",NA,NA,"BALLYSCULLION","DUNCRUN","LIMAVADY","LONDONDERRY","BT490JE",268543,432534,75
"76",NA,NA,NA,"405","SEACOAST ROAD",NA,NA,NA,"CLOONEY","LIMAVADY","LONDONDERRY","BT490LW",268640,433777,76
"89",NA,NA,NA,"370","SEACOAST ROAD",NA,NA,NA,"BALLYSCULLION","LIMAVADY","LONDONDERRY","BT490LA",267172,432608,89
"92",NA,NA,"TELEPHONE EXCHANGE",NA,"SEACOAST ROAD",NA,NA,NA,"OUGHTYMOYLE","LIMAVADY","LONDONDERRY","BT490JY",266864,431456,92
"99",NA,NA,NA,"21","DRUMAVALLY",NA,NA,NA,"DRUMAVALLY","LIMAVADY","LONDONDERRY","BT490LT",267148,432852,99
"226",NA,NA,NA,"254","SEACOAST ROAD",NA,NA,NA,"BELLARENA","LIMAVADY","LONDONDERRY","BT490HZ",266391,429886,226
"236",NA,NA,NA,"100","DOWLAND ROAD",NA,NA,"FRUITHILL","CARBULLION","LIMAVADY","LONDONDERRY","BT490HR",267029,425935,236
"310",NA,NA,NA,"47","DOWLAND ROAD",NA,NA,"FRUITHILL","ARTIKELLY","LIMAVADY","LONDONDERRY","BT490HR",268259,424813,310
"455",NA,"APARTMENT E",NA,"5","LODGE COURT",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EY",266899,423197,455
"456",NA,NA,NA,"40","LINENHALL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490HQ",266936,423105,456
"457","DRY ARCH FAMILY CENTRE (THE DEN)",NA,NA,"55","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",266943,422977,457
"458",NA,NA,NA,"9","TYLER PARK",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DS",267857,423478,458
"461",NA,NA,NA,"9","BALLYCLOSE STREET",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BL",267359,423426,461
"462",NA,NA,NA,"100","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EA",267364,422972,462
"463",NA,NA,NA,"12","DUNMORE PLACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AN",267370,422688,463
"464",NA,NA,NA,"2","GLENBEG WALK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RL",267723,421964,464
"465",NA,NA,NA,"74A","SCROGGY ROAD",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NB",267986,422179,465
"466",NA,NA,NA,"51","CARLARAGH ROAD",NA,NA,NA,"TERRYDRUM","LIMAVADY","LONDONDERRY","BT499LF",265869,419219,466
"467","CRAIGS SERVICE STATION",NA,NA,"6","BALLYCLOSE STREET",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490BN",267310,423476,467
"468",NA,NA,NA,"42","DRUMACHOSE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490NZ",268024,422250,468
"472",NA,NA,NA,"13","PROTESTANT STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BP",266982,422879,472
"473",NA,NA,NA,"42","COOLESSAN WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EN",267586,421786,473
"475",NA,NA,NA,"15","GLENMILL PARK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490RS",267627,421972,475
"477",NA,NA,NA,"17","ANNADALE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BW",267142,422786,477
"479",NA,NA,NA,"33","MASSEY AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BN",267086,422712,479
"481",NA,NA,NA,"6","MOYNE WALK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AX",267181,422296,481
"485",NA,NA,NA,"17A","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267710,423019,485
"486",NA,NA,NA,"42","BELLS HILL",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DQ",268197,423183,486
"488",NA,NA,NA,"6","JOSEPHINE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267183,422335,488
"497",NA,NA,NA,"112","WHITEHILL PARK",NA,NA,NA,"CARRAN","LIMAVADY","LONDONDERRY","BT490QG",268286,421549,497
"498",NA,NA,NA,"60","WOODLAND WALK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499DQ",267290,421677,498
"499",NA,NA,NA,"20","GLENSIDE BRAE",NA,NA,NA,"DEER PARK","LIMAVADY","LONDONDERRY","BT490RY",267918,421620,499
"501",NA,NA,NA,"21","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268331,422310,501
"503",NA,NA,NA,"26","MAIN STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EU",267015,423234,503
"508",NA,NA,NA,"50","BALLYAVELIN ROAD",NA,NA,NA,"GLEBE","LIMAVADY","LONDONDERRY","BT490NQ",269945,420994,508
"509",NA,NA,NA,"18","GORTEEN CRESCENT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499EW",267432,421762,509
"510",NA,"FLAT 29","BENEVENAGH FOLD","102","CONNELL STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EF",267390,422968,510
"511",NA,NA,NA,"144","RINGSEND ROAD",NA,NA,NA,"DRUMRAMER","LIMAVADY","LONDONDERRY","BT490QN",274972,423478,511
"512",NA,NA,NA,"44","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",268979,422438,512
"513",NA,NA,NA,"19","TYLER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490DP",268069,423514,513
"514",NA,NA,NA,"2","ROEMMELE HAVEN",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490EB",268431,422344,514
"515",NA,NA,NA,"6","EDENMORE PARK",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490RG",268436,422229,515
"524",NA,NA,NA,"63","JOSEPHINE AVENUE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499BA",267247,422410,524
"539",NA,NA,NA,"7","ROSSNAREEN COURT",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490TQ",268822,421945,539
"739",NA,NA,NA,"8","POLLYS BRAE ROAD",NA,NA,NA,"LARGY","LIMAVADY","LONDONDERRY","BT499LL",267299,418250,739
"768",NA,NA,NA,"60","TERRYDREMONT ROAD",NA,NA,NA,"MULKEERAGH","LIMAVADY","LONDONDERRY","BT490NR",270680,416566,768
