"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"126642","2015-10",-6.080367,54.516567,"Knockburn Crescent","ASBO","LISBURN",74
"106029","2015-08",-7.639344,54.351288,"Carnmore Rise","VISO","ENNISKILLEN",80
"227273","2016-06",-5.945924,54.569256,"Broomhill Court","ASBO","Other Town",NA
"23201","2015-02",-6.928118,55.014269,NA,"OTCR",NA,NA
"192802","2016-03",-5.864392,54.84531,NA,"CDAR",NA,NA
"199065","2016-03",-6.708529,55.173052,"Agherton Drive","VISO","PORTSTEWART",335
"334292","2017-02",-6.71911,55.18715,NA,"ASBO",NA,NA
"152382","2015-12",-5.709039,54.752634,"Marine Lane","ASBO","WHITEHEAD",219
"224901","2016-05",-6.925965,55.040409,"Greenvale","VISO","Other Town",NA
"70061","2015-06",-5.925005,54.584389,"Penrose Street","BURG","BELFAST",232
"257177","2016-08",-7.2667,55.035304,"Stradowen Drive","ASBO",NA,NA
"362998","2017-04",-6.045152,54.511798,"Graham Gardens","CDAR","Other Town",NA
"115362","2015-09",-5.947072,54.614677,"Ballymoney Street","CDAR","Other Town",NA
"163972","2016-01",-5.727221,54.777452,NA,"ASBO",NA,NA
"313779","2016-12",-7.025123,54.893464,"Cherry Lane","CDAR","Other Town",NA
"275293","2016-09",-6.289047,54.349981,"Brook Grove","CDAR","BANBRIDGE",88
"84195","2015-07",-6.515408,55.068083,"Meeting House Street","ASBO","Other Town",NA
"147117","2015-11",-6.288579,54.422247,"New Line","VISO","Other Town",NA
"147919","2015-11",-6.265577,55.199679,"Whitehall Court","VISO",NA,NA
"284045","2016-10",-6.450151,54.421968,"West Street","ASBO","Other Town",NA
"220479","2016-05",-6.596197,54.753718,"Sandy Braes","DRUG","MAGHERAFELT",353
"292486","2016-10",-5.931754,54.598036,"Fountain Street","SHOP","Other Town",NA
"221523","2016-05",-5.824708,54.594065,"Stoney Road","OTTH","Other Town",NA
"308191","2016-12",-5.951333,54.696197,"The Glade","ASBO","Other Town",NA
"172866","2016-01",-6.741411,54.411555,"Main Street","VISO","Other Town",NA
"70537","2015-06",-6.220834,54.52417,"Chapel Road","BURG","Other Town",NA
"316968","2016-12",-5.639273,54.645015,"Bexley Hill","VISO","BANGOR",318
"362911","2017-04",-5.824265,54.640951,"Victoria Road","CDAR","Other Town",NA
"225946","2016-05",-6.683277,55.119215,"Greenmount Park","VISO","Other Town",NA
"114280","2015-09",-6.339619,54.176616,NA,"CDAR",NA,NA
"200931","2016-04",-5.917333,54.575883,"Ormeau Road","ASBO","Other Town",NA
"382066","2017-05",-6.028856,54.556116,"Bell Steele Road","VISO",NA,NA
"143482","2015-11",-6.771335,54.502745,NA,"CDAR",NA,NA
"392622","2017-06",-5.92591,54.598233,"Victoria Square","OTTH","Other Town",NA
"286095","2016-10",-5.891343,54.2222,"Burrendale Park Road","ASBO","NEWCASTLE",333
"365997","2017-04",-5.978141,54.580374,"Blackstaff Road","SHOP","Other Town",NA
"74235","2015-06",-5.948327,54.61928,"Cliftonville Drive","OTTH","BELFAST",232
"258985","2016-08",-7.320018,54.597477,"Shandon Park","ASBO","Other Town",NA
"407191","2017-07",-5.940656,54.256399,"Church Street","OTTH","Other Town",NA
"53612","2015-05",-5.81059,54.731571,"Oakland Gardens","ASBO","CARRICKFERGUS",198
"136062","2015-10",-6.739736,54.646009,"Molesworth Road","VISO","COOKSTOWN",52
"355985","2017-03",-7.35103,55.020863,"Goldsmith Court","VISO","LONDONDERRY",NA
"319965","2017-01",-5.931537,54.619093,"Alexandra Park Avenue","ASBO","BELFAST",232
"340423","2017-02",-6.517485,55.068647,"Castle Street","VISO","Other Town",NA
"248259","2016-07",-5.936566,54.259635,"Station Road","CDAR","Other Town",NA
"202135","2016-04",-7.310166,54.996008,"Bonds Hill","ASBO","LONDONDERRY",NA
"321106","2017-01",-5.789981,54.368764,"Drumnaconagher Road","ASBO","Other Town",NA
"363847","2017-04",-6.025558,54.537365,"Mosside Road","CDAR","DUNMURRY",NA
"85472","2015-07",-5.839792,54.632109,"East Link","CDAR","HOLYWOOD",70
"126362","2015-10",-7.279064,55.010442,"Madam'S Bank Road","ASBO",NA,NA
"136009","2015-10",-5.976491,54.577777,"Kennedy Way Industrial Estate","VISO",NA,NA
"81754","2015-07",-7.479393,54.811544,"Whin View","ASBO","STRABANE",111
"96985","2015-08",-5.95966,54.613093,"Brookfield Walk","ASBO","BELFAST",232
"113112","2015-09",-5.937273,54.636694,"Innisfayle Park","ASBO","Other Town",NA
"243320","2016-07",-5.900955,54.584891,"Willowholme Drive","ASBO","BELFAST",232
"104267","2015-08",-6.032054,54.584713,"Upper Springfield Road","VECR","BELFAST",232
"50814","2015-05",-5.96233,54.587243,"Rodney Parade","ASBO","BELFAST",232
"94603","2015-08",-6.232802,54.479189,"Kilmore Park","ASBO","Other Town",NA
"245894","2016-07",-5.925203,54.602102,"Victoria Street","BITH","Other Town",NA
"86992","2015-07",-6.334118,54.435669,"Corcreeny Place","CDAR","LURGAN",197
"190807","2016-03",-6.228269,54.962175,"Elmhurst Park","ASBO","MARTINSTOWN",239
"266273","2016-08",-7.243436,54.837179,"Aghafad Road","VISO","Other Town",NA
"395262","2017-06",-7.719393,54.522212,"Rosscolban Park","VISO",NA,NA
"278328","2016-09",-5.708843,54.593715,"Circular Road","SHOP","Other Town",NA
"183172","2016-02",-5.921608,54.576972,"Haywood Avenue","VECR","BELFAST",232
"147219","2015-11",NA,NA,"No Location","VISO",NA,NA
